seed,group,feature,group_avg_importance,global_importance,global_vs_group_gap,conditional_minus_global
2021,group_b,exog_feature_3,0.27710282368305506,0.2794266984624316,0.002323874779376593,-0.002323874779376593
2223,group_a,exog_feature_3,0.39671384185959413,0.39344218936928715,-0.003271652490306967,0.003271652490306967
2223,group_b,exog_feature_3,0.40044182945212964,0.39344218781201845,-0.0069996416401111915,0.0069996416401111915
2425,group_a,exog_feature_3,0.41014985104615037,0.399801301913244,-0.010348549132906393,0.010348549132906393
2425,group_b,exog_feature_3,0.3916109727194331,0.3998013026917256,0.00819032997229249,-0.00819032997229249
2627,group_a,exog_feature_3,0.3370613465426098,0.33345748773248235,-0.003603858810127432,0.003603858810127432
2627,group_b,exog_feature_3,0.32304208915889715,0.3334574874517177,0.010415398292820578,-0.010415398292820578
2829,group_a,exog_feature_3,0.24433196575906058,0.2547919138099555,0.010459948050894924,-0.010459948050894924
2829,group_b,exog_feature_3,0.2557410961062887,0.25479191242134197,-0.0009491836849467177,0.0009491836849467177
3031,group_a,exog_feature_3,0.42176061846001367,0.42779228786124535,0.00603166940123168,-0.00603166940123168
3031,group_b,exog_feature_3,0.4370546147816276,0.42779228684178505,-0.009262327939842564,0.009262327939842564
3233,group_a,exog_feature_3,0.2419215274568744,0.24706757219039002,0.005146044733515614,-0.005146044733515614
3233,group_b,exog_feature_3,0.24408793643704518,0.24706757139387525,0.0029796349568300563,-0.0029796349568300563
3435,group_a,exog_feature_3,0.4006898864425667,0.3813873059570937,-0.019302580485473037,0.019302580485473037
3435,group_b,exog_feature_3,0.37350208492863074,0.38138730627798656,0.007885221349355803,-0.007885221349355803
3637,group_a,exog_feature_3,0.41158079383596546,0.409405122614161,-0.0021756712218044725,0.0021756712218044725
3637,group_b,exog_feature_3,0.40614114750754043,0.4094051202734968,0.0032639727659563374,-0.0032639727659563374
3839,group_a,exog_feature_3,0.33723174060901123,0.3396422340143392,0.002410493405327924,-0.002410493405327924
3839,group_b,exog_feature_3,0.3479916219559303,0.3396422329987772,-0.008349388957153083,0.008349388957153083
4041,group_a,exog_feature_3,0.3407915277510953,0.3416314255662117,0.000839897815116402,-0.000839897815116402
4041,group_b,exog_feature_3,0.34350279246832616,0.3416314287912398,-0.001871363677086323,0.001871363677086323
