levels,lags,params,mean_squared_error__weighted_average,mean_squared_error__average,mean_squared_error__pooling,n_estimators,learning_rate,num_leaves,max_depth,min_child_samples,reg_alpha,reg_lambda
"['urban_001', 'urban_002', 'urban_003', 'rural_001', 'rural_002', 'rural_003']",[1 2 3],"{'n_estimators': 446, 'learning_rate': 0.09089953634631943, 'num_leaves': 17, 'max_depth': 7, 'min_child_samples': 38, 'reg_alpha': 1.1701578337681737, 'reg_lambda': 0.003039422409903942}",131.245526287559,131.245526287559,131.24552628755896,446.0,0.09089953634631943,17.0,7.0,38.0,1.1701578337681737,0.003039422409903942
"['urban_001', 'urban_002', 'urban_003', 'rural_001', 'rural_002', 'rural_003']",[1 2 3],"{'n_estimators': 478, 'learning_rate': 0.08950596726525281, 'num_leaves': 26, 'max_depth': 7, 'min_child_samples': 28, 'reg_alpha': 1.9878088364696103, 'reg_lambda': 0.0014301267293610528}",131.24798358759338,131.24798358759338,131.24798358759338,478.0,0.08950596726525281,26.0,7.0,28.0,1.9878088364696103,0.0014301267293610528
"['urban_001', 'urban_002', 'urban_003', 'rural_001', 'rural_002', 'rural_003']",[1 2 3],"{'n_estimators': 444, 'learning_rate': 0.09032753103038596, 'num_leaves': 17, 'max_depth': 7, 'min_child_samples': 44, 'reg_alpha': 0.12095405904684739, 'reg_lambda': 8.304930207936487e-05}",131.28288897885133,131.28288897885136,131.28288897885133,444.0,0.09032753103038596,17.0,7.0,44.0,0.12095405904684739,8.304930207936487e-05
"['urban_001', 'urban_002', 'urban_003', 'rural_001', 'rural_002', 'rural_003']",[1 2 3],"{'n_estimators': 464, 'learning_rate': 0.028183259183483966, 'num_leaves': 18, 'max_depth': 7, 'min_child_samples': 43, 'reg_alpha': 0.0002253748398801775, 'reg_lambda': 0.006120432850387379}",131.30323065838746,131.30323065838743,131.30323065838743,464.0,0.028183259183483966,18.0,7.0,43.0,0.0002253748398801775,0.006120432850387379
"['urban_001', 'urban_002', 'urban_003', 'rural_001', 'rural_002', 'rural_003']",[1 2 3],"{'n_estimators': 456, 'learning_rate': 0.10214455734566766, 'num_leaves': 17, 'max_depth': 7, 'min_child_samples': 40, 'reg_alpha': 2.3228952163874905, 'reg_lambda': 0.0010765569653835231}",131.33600348881558,131.3360034888156,131.3360034888156,456.0,0.10214455734566766,17.0,7.0,40.0,2.3228952163874905,0.0010765569653835231
"['urban_001', 'urban_002', 'urban_003', 'rural_001', 'rural_002', 'rural_003']",[1 2 3],"{'n_estimators': 301, 'learning_rate': 0.0825330132579475, 'num_leaves': 27, 'max_depth': 7, 'min_child_samples': 15, 'reg_alpha': 5.221319554899618, 'reg_lambda': 0.00028244291697208116}",131.35137743938938,131.3513774393894,131.35137743938935,301.0,0.0825330132579475,27.0,7.0,15.0,5.221319554899618,0.00028244291697208116
"['urban_001', 'urban_002', 'urban_003', 'rural_001', 'rural_002', 'rural_003']",[1 2 3],"{'n_estimators': 490, 'learning_rate': 0.07748975965671326, 'num_leaves': 16, 'max_depth': 7, 'min_child_samples': 29, 'reg_alpha': 3.3513990454194653, 'reg_lambda': 0.00024807454546340777}",131.4047021545625,131.40470215456247,131.4047021545625,490.0,0.07748975965671326,16.0,7.0,29.0,3.3513990454194653,0.00024807454546340777
"['urban_001', 'urban_002', 'urban_003', 'rural_001', 'rural_002', 'rural_003']",[1 2 3],"{'n_estimators': 436, 'learning_rate': 0.11837532927311827, 'num_leaves': 19, 'max_depth': 8, 'min_child_samples': 44, 'reg_alpha': 0.9171288942659986, 'reg_lambda': 0.00018728058117440066}",131.46440370882928,131.46440370882928,131.46440370882928,436.0,0.11837532927311827,19.0,8.0,44.0,0.9171288942659986,0.00018728058117440066
"['urban_001', 'urban_002', 'urban_003', 'rural_001', 'rural_002', 'rural_003']",[1 2 3],"{'n_estimators': 456, 'learning_rate': 0.08267161104190637, 'num_leaves': 18, 'max_depth': 8, 'min_child_samples': 17, 'reg_alpha': 2.2532181708592085, 'reg_lambda': 5.647101363024099e-07}",131.51495194188135,131.51495194188132,131.51495194188132,456.0,0.08267161104190637,18.0,8.0,17.0,2.2532181708592085,5.647101363024099e-07
"['urban_001', 'urban_002', 'urban_003', 'rural_001', 'rural_002', 'rural_003']",[1 2 3],"{'n_estimators': 448, 'learning_rate': 0.09548481226443568, 'num_leaves': 15, 'max_depth': 5, 'min_child_samples': 26, 'reg_alpha': 0.32947496984727215, 'reg_lambda': 0.0001151330284191256}",131.58293924148876,131.58293924148876,131.58293924148876,448.0,0.09548481226443568,15.0,5.0,26.0,0.32947496984727215,0.0001151330284191256
"['urban_001', 'urban_002', 'urban_003', 'rural_001', 'rural_002', 'rural_003']",[1 2 3],"{'n_estimators': 425, 'learning_rate': 0.08486586614202128, 'num_leaves': 23, 'max_depth': 7, 'min_child_samples': 31, 'reg_alpha': 1.2091390266782445, 'reg_lambda': 0.0009603001522196691}",131.7038578887134,131.7038578887134,131.7038578887134,425.0,0.08486586614202128,23.0,7.0,31.0,1.2091390266782445,0.0009603001522196691
"['urban_001', 'urban_002', 'urban_003', 'rural_001', 'rural_002', 'rural_003']",[1 2 3],"{'n_estimators': 466, 'learning_rate': 0.07812511572797716, 'num_leaves': 21, 'max_depth': 8, 'min_child_samples': 29, 'reg_alpha': 1.6421490642009353, 'reg_lambda': 0.0005737373805190599}",131.75317732748303,131.75317732748303,131.75317732748303,466.0,0.07812511572797716,21.0,8.0,29.0,1.6421490642009353,0.0005737373805190599
"['urban_001', 'urban_002', 'urban_003', 'rural_001', 'rural_002', 'rural_003']",[1 2 3],"{'n_estimators': 406, 'learning_rate': 0.11070950297183674, 'num_leaves': 24, 'max_depth': 9, 'min_child_samples': 16, 'reg_alpha': 0.8046805828355567, 'reg_lambda': 4.908787065191886e-06}",131.76622291679948,131.7662229167995,131.7662229167995,406.0,0.11070950297183674,24.0,9.0,16.0,0.8046805828355567,4.908787065191886e-06
"['urban_001', 'urban_002', 'urban_003', 'rural_001', 'rural_002', 'rural_003']",[1 2 3],"{'n_estimators': 468, 'learning_rate': 0.057816421608605846, 'num_leaves': 21, 'max_depth': 12, 'min_child_samples': 27, 'reg_alpha': 3.354255219030339, 'reg_lambda': 0.0003069994566702195}",131.7850441243049,131.78504412430487,131.78504412430493,468.0,0.057816421608605846,21.0,12.0,27.0,3.354255219030339,0.0003069994566702195
"['urban_001', 'urban_002', 'urban_003', 'rural_001', 'rural_002', 'rural_003']",[1 2 3],"{'n_estimators': 340, 'learning_rate': 0.0929386320480929, 'num_leaves': 20, 'max_depth': 7, 'min_child_samples': 19, 'reg_alpha': 0.13279448803487814, 'reg_lambda': 0.00045056533209707976}",131.8064014047969,131.8064014047969,131.8064014047969,340.0,0.0929386320480929,20.0,7.0,19.0,0.13279448803487814,0.00045056533209707976
"['urban_001', 'urban_002', 'urban_003', 'rural_001', 'rural_002', 'rural_003']",[1 2 3],"{'n_estimators': 436, 'learning_rate': 0.07484209991023905, 'num_leaves': 18, 'max_depth': 6, 'min_child_samples': 40, 'reg_alpha': 0.11953482017142722, 'reg_lambda': 3.4498062499398877e-07}",131.855713915098,131.855713915098,131.85571391509802,436.0,0.07484209991023905,18.0,6.0,40.0,0.11953482017142722,3.4498062499398877e-07
"['urban_001', 'urban_002', 'urban_003', 'rural_001', 'rural_002', 'rural_003']",[1 2 3],"{'n_estimators': 449, 'learning_rate': 0.09238435019118436, 'num_leaves': 15, 'max_depth': 7, 'min_child_samples': 29, 'reg_alpha': 3.7591780804865627, 'reg_lambda': 0.0009505540066232954}",131.87365869547682,131.87365869547682,131.87365869547682,449.0,0.09238435019118436,15.0,7.0,29.0,3.7591780804865627,0.0009505540066232954
"['urban_001', 'urban_002', 'urban_003', 'rural_001', 'rural_002', 'rural_003']",[1 2 3],"{'n_estimators': 452, 'learning_rate': 0.027662888883143354, 'num_leaves': 25, 'max_depth': 7, 'min_child_samples': 25, 'reg_alpha': 3.8564978280768384e-07, 'reg_lambda': 0.0006566923093530299}",131.90524253285213,131.90524253285213,131.90524253285213,452.0,0.027662888883143354,25.0,7.0,25.0,3.8564978280768384e-07,0.0006566923093530299
"['urban_001', 'urban_002', 'urban_003', 'rural_001', 'rural_002', 'rural_003']",[1 2 3],"{'n_estimators': 450, 'learning_rate': 0.027017014523636262, 'num_leaves': 24, 'max_depth': 7, 'min_child_samples': 27, 'reg_alpha': 1.6197602546358994e-06, 'reg_lambda': 0.000840898882995286}",131.95410167602526,131.95410167602526,131.95410167602526,450.0,0.027017014523636262,24.0,7.0,27.0,1.6197602546358994e-06,0.000840898882995286
